,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Review Length,tokenized,tokenized_unlist,Polarity Score,Neutral Score,Negative Score,Positive Score,Sentiment,label,Reviews_pos_tags,Label_tags
69,1078,56,Great summer fabric!,"Great summer fabric! I really wanted this to work. alas, it had a strange fit for me. the straps would not stay up, and it had a weird fit under the breast. it worked standing up, but the minute i sat down it fell off my shoulders. the fabric was beautiful! and i loved that it had pockets.",3,0,1,General Petite,Dresses,Dresses,290,"['great', 'summer', 'fabric', 'really', 'wanted', 'work', 'alas', 'strange', 'fit', 'straps', 'would', 'stay', 'weird', 'fit', 'breast', 'worked', 'standing', 'minute', 'sat', 'fell', 'shoulders', 'fabric', 'beautiful', 'loved', 'pockets']",great summer fabric really wanted work alas strange fit straps would stay weird fit breast worked standing minute sat fell shoulders fabric beautiful loved pockets,0.9191,0.428,0.147,0.425,Positive,1,"[('great', 'JJ'), ('summer', 'NN'), ('fabric', 'NN'), ('really', 'RB'), ('wanted', 'VBD'), ('work', 'NN'), ('alas', 'NNS'), ('strange', 'JJ'), ('fit', 'JJ'), ('straps', 'NNS'), ('would', 'MD'), ('stay', 'VB'), ('weird', 'JJ'), ('fit', 'JJ'), ('breast', 'NN'), ('worked', 'VBD'), ('standing', 'VBG'), ('minute', 'NN'), ('sat', 'VBD'), ('fell', 'VBD'), ('shoulders', 'NNS'), ('fabric', 'RB'), ('beautiful', 'JJ'), ('loved', 'VBD'), ('pockets', 'NNS')]","['great summer fabric', 'wanted work', 'alas strange', 'weird fit breast', 'minute sat', 'fabric beautiful']"
90,1078,51,Sweet flattering dress,"Sweet flattering dress I love cute summer dresses and this one, especially because it is made out of linen, is unique. it is very well-made with a design that is quite flattering. i am 5 foot 6 and a little curvy with a 38 c bust and i got a size 10. it fits well although it is difficult to zip up because the material has no give. the perfect dress to wear to italy or france! now i just have to book my tickets!",4,1,0,General Petite,Dresses,Dresses,414,"['sweet', 'flattering', 'dress', 'love', 'cute', 'summer', 'dresses', 'one', 'especially', 'made', 'linen', 'unique', 'well', 'made', 'design', 'quite', 'flattering', 'foot', 'little', 'curvy', 'bust', 'got', 'size', 'fits', 'well', 'although', 'difficult', 'zip', 'material', 'give', 'perfect', 'dress', 'wear', 'italy', 'france', 'book', 'tickets']",sweet flattering dress love cute summer dresses one especially made linen unique well made design quite flattering foot little curvy bust got size fits well although difficult zip material give perfect dress wear italy france book tickets,0.9595,0.526,0.047,0.427,Positive,1,"[('sweet', 'JJ'), ('flattering', 'VBG'), ('dress', 'NN'), ('love', 'NN'), ('cute', 'NN'), ('summer', 'NN'), ('dresses', 'VBZ'), ('one', 'CD'), ('especially', 'RB'), ('made', 'VBN'), ('linen', 'JJ'), ('unique', 'JJ'), ('well-made', 'JJ'), ('design', 'NN'), ('quite', 'RB'), ('flattering', 'VBG'), ('5', 'CD'), ('foot', 'JJ'), ('6', 'CD'), ('little', 'JJ'), ('curvy', 'JJ'), ('38', 'CD'), ('c', 'NN'), ('bust', 'NN'), ('got', 'VBD'), ('size', 'NN'), ('10.', 'CD'), ('fits', 'NNS'), ('well', 'RB'), ('although', 'IN'), ('difficult', 'JJ'), ('zip', 'JJ'), ('material', 'NN'), ('give', 'NN'), ('perfect', 'NN'), ('dress', 'NN'), ('wear', 'JJ'), ('italy', 'JJ'), ('france', 'NN'), ('book', 'NN'), ('tickets', 'NNS')]","['sweet flattering dress', 'well-made design', 'foot little', 'curvy c', 'difficult zip material', 'perfect dress wear italy france', 'dress wear italy']"
117,1078,32, ,"  This is the perfect summer dress. it can be dressed up or down. the quality of the linen fabric is very nice. i'm 5'1"" and it hit right below my knees. i found it to run true to size. those with a smaller bust might want to go down a size, but the tie in the front can be adjusted. it's lovely.",5,1,2,General Petite,Dresses,Dresses,296,"['perfect', 'summer', 'dress', 'dressed', 'quality', 'linen', 'fabric', 'nice', 'hit', 'right', 'knees', 'found', 'run', 'true', 'size', 'smaller', 'bust', 'might', 'want', 'size', 'tie', 'front', 'adjusted', 'lovely']",perfect summer dress dressed quality linen fabric nice hit right knees found run true size smaller bust might want size tie front adjusted lovely,0.9246,0.569,0.0,0.431,Positive,1,"[('perfect', 'JJ'), ('summer', 'NN'), ('dress', 'NN'), ('dressed', 'VBN'), ('quality', 'NN'), ('linen', 'NN'), ('fabric', 'JJ'), ('nice', 'JJ'), (""'m"", 'VBP'), (""5'1"", 'CD'), (""''"", ""''""), ('hit', 'NN'), ('right', 'RB'), ('knees', 'VBZ'), ('found', 'JJ'), ('run', 'NN'), ('true', 'JJ'), ('size', 'NN'), ('smaller', 'JJR'), ('bust', 'NN'), ('might', 'MD'), ('want', 'VB'), ('go', 'VB'), ('size', 'NN'), ('tie', 'NN'), ('front', 'NN'), ('adjusted', 'VBD'), ('lovely', 'RB')]","['perfect summer dress', 'quality linen fabric', 'true size', 'smaller bust', 'size tie']"
467,1078,61,Great sweater dress!,"Great sweater dress! Nice fit and flare style, not clingy at all. i got the grey color, petite large, fits perfect. will wear with tights/boots or booties. lots of color options to accessorize with.",5,1,1,General,Dresses,Dresses,198,"['great', 'sweater', 'dress', 'nice', 'fit', 'flare', 'style', 'clingy', 'got', 'grey', 'color', 'petite', 'large', 'fits', 'perfect', 'wear', 'tights', 'boots', 'booties', 'lots', 'color', 'options', 'accessorize']",great sweater dress nice fit flare style clingy got grey color petite large fits perfect wear tights boots booties lots color options accessorize,0.9231,0.557,0.0,0.443,Positive,1,"[('great', 'JJ'), ('sweater', 'NN'), ('dress', 'NN'), ('nice', 'JJ'), ('fit', 'NN'), ('flare', 'NN'), ('style', 'NN'), ('clingy', 'NN'), ('got', 'VBD'), ('grey', 'JJ'), ('color', 'NN'), ('petite', 'JJ'), ('large', 'JJ'), ('fits', 'NNS'), ('perfect', 'VBP'), ('wear', 'JJ'), ('tights/boots', 'JJ'), ('booties', 'NNS'), ('lots', 'VBP'), ('color', 'NN'), ('options', 'NNS'), ('accessorize', 'VBP')]","['great sweater dress', 'nice fit flare', 'color petite', 'large fits', 'wear tights/boots booties']"
470,1078,33,"Cute, but cheap","Cute, but cheap When i first opened this dress and tried it on i thought it was adorable. it is very flattering on my hourglass figure and hides my recent baby weight. the problem is the hem. it was already rolling up when i took it out of the package, and i should have noticed and returned it, but i figured the problem would be easily solved by a good ironing. well, it wasn't, and it gets worse every time i wash the dress. it's like the hem isn't constructed properly.",3,0,0,General,Dresses,Dresses,473,"['cute', 'cheap', 'first', 'opened', 'dress', 'tried', 'thought', 'adorable', 'flattering', 'hourglass', 'figure', 'hides', 'recent', 'baby', 'weight', 'problem', 'hem', 'already', 'rolling', 'took', 'package', 'noticed', 'returned', 'figured', 'problem', 'would', 'easily', 'solved', 'good', 'ironing', 'well', 'gets', 'worse', 'every', 'time', 'wash', 'dress', 'like', 'hem', 'constructed', 'properly']",cute cheap first opened dress tried thought adorable flattering hourglass figure hides recent baby weight problem hem already rolling took package noticed returned figured problem would easily solved good ironing well gets worse every time wash dress like hem constructed properly,0.8519,0.486,0.171,0.343,Positive,1,"[('cute', 'NN'), ('cheap', 'NNS'), ('first', 'RB'), ('opened', 'VBD'), ('dress', 'NN'), ('tried', 'VBD'), ('thought', 'VBN'), ('adorable', 'JJ'), ('flattering', 'JJ'), ('hourglass', 'NN'), ('figure', 'NN'), ('hides', 'VBZ'), ('recent', 'JJ'), ('baby', 'NN'), ('weight', 'VBD'), ('problem', 'NN'), ('hem', 'NN'), ('already', 'RB'), ('rolling', 'VBG'), ('took', 'VBD'), ('package', 'NN'), ('noticed', 'VBN'), ('returned', 'VBN'), ('figured', 'VBN'), ('problem', 'NN'), ('would', 'MD'), ('easily', 'RB'), ('solved', 'VB'), ('good', 'JJ'), ('ironing', 'NN'), ('well', 'VBP'), (""n't"", 'RB'), ('gets', 'VBZ'), ('worse', 'JJR'), ('every', 'DT'), ('time', 'NN'), ('wash', 'JJ'), ('dress', 'NN'), ('like', 'IN'), ('hem', 'NN'), ('constructed', 'VBD'), ('properly', 'RB')]","['cute cheap', 'hourglass figure recent baby', 'figure recent', 'good ironing', 'worse time']"
474,1078,20,Super cute and flattering too,"Super cute and flattering too I love this sweater dress and get compliments every time i wear it.. i bought the navy in size xs. the pattern and colors are just fun and youthful, although you don't have to be young to look good in this dress. the dress is fitted, but the skirt flares, making it flattering if you have hips like me. the material is not too heavy so you can wear this 3 seasons fall, winter, spring. as other reviews have mentioned the dress is short. i am 5'9"" so it does hit well above my knees. this isn't an is",5,1,1,General,Dresses,Dresses,530,"['super', 'cute', 'flattering', 'love', 'sweater', 'dress', 'get', 'compliments', 'every', 'time', 'wear', 'bought', 'navy', 'size', 'pattern', 'colors', 'fun', 'youthful', 'although', 'young', 'look', 'good', 'dress', 'dress', 'fitted', 'skirt', 'flares', 'making', 'flattering', 'hips', 'like', 'material', 'heavy', 'wear', 'seasons', 'fall', 'winter', 'spring', 'reviews', 'mentioned', 'dress', 'short', 'hit', 'well', 'knees']",super cute flattering love sweater dress get compliments every time wear bought navy size pattern colors fun youthful although young look good dress dress fitted skirt flares making flattering hips like material heavy wear seasons fall winter spring reviews mentioned dress short hit well knees,0.9826,0.519,0.0,0.481,Positive,1,"[('super', 'JJ'), ('cute', 'NN'), ('flattering', 'VBG'), ('love', 'NN'), ('sweater', 'NN'), ('dress', 'NN'), ('get', 'NN'), ('compliments', 'NNS'), ('every', 'DT'), ('time', 'NN'), ('wear', 'JJ'), ('it..', 'JJ'), ('bought', 'VBD'), ('navy', 'JJ'), ('size', 'NN'), ('xs', 'NN'), ('pattern', 'NN'), ('colors', 'NNS'), ('fun', 'VBP'), ('youthful', 'JJ'), ('although', 'IN'), ('young', 'JJ'), ('look', 'VBP'), ('good', 'JJ'), ('dress', 'NN'), ('dress', 'NN'), ('fitted', 'VBD'), ('skirt', 'JJ'), ('flares', 'NNS'), ('making', 'VBG'), ('flattering', 'VBG'), ('hips', 'NNS'), ('like', 'IN'), ('material', 'NN'), ('heavy', 'JJ'), ('wear', 'NN'), ('3', 'CD'), ('seasons', 'NNS'), ('fall', 'VBP'), ('winter', 'NN'), ('spring', 'NN'), ('reviews', 'NNS'), ('mentioned', 'VBD'), ('dress', 'NN'), ('short', 'JJ'), (""5'9"", 'CD'), (""''"", ""''""), ('hit', 'VBN'), ('well', 'RB'), ('knees', 'NNS')]","['super cute', 'time wear it..', 'navy size xs', 'colors fun youthful', 'good dress', 'material heavy', 'dress short']"
476,1078,52,Fun dress,Fun dress Extremely flattering. an easy dress to wear - good choice for both day and evening,5,1,1,General,Dresses,Dresses,92,"['fun', 'dress', 'extremely', 'flattering', 'easy', 'dress', 'wear', 'good', 'choice', 'day', 'evening']",fun dress extremely flattering easy dress wear good choice day evening,0.8995,0.369,0.0,0.631,Positive,1,"[('fun', 'NN'), ('dress', 'NN'), ('extremely', 'RB'), ('flattering', 'JJ'), ('easy', 'JJ'), ('dress', 'NN'), ('wear', 'VBP'), ('good', 'JJ'), ('choice', 'NN'), ('day', 'NN'), ('evening', 'VBG')]","['easy dress', 'good choice day']"
486,1078,46,Fun mix of colors in the grey version,"Fun mix of colors in the grey version I ordered this dress in size xl in the grey/red/yellow combination. i love everything about this dress. it's comfortable. the colors are cheerful. the proportions of where the stripes are placed works. but, i have to return this dress. it's too short for what i'm comfortable wearing. i saw from the photos that this comes mid-thigh on the taller models. i hoped that would mean it would be more knee-length for me. unfortunately, it's just too short and i'd feel self-conscious. i don't want to deal",5,1,1,General,Dresses,Dresses,538,"['fun', 'mix', 'colors', 'grey', 'version', 'ordered', 'dress', 'size', 'grey', 'red', 'yellow', 'combination', 'love', 'everything', 'dress', 'comfortable', 'colors', 'cheerful', 'proportions', 'stripes', 'placed', 'works', 'return', 'dress', 'short', 'comfortable', 'wearing', 'saw', 'photos', 'comes', 'mid', 'thigh', 'taller', 'models', 'hoped', 'would', 'mean', 'would', 'knee', 'length', 'unfortunately', 'short', 'feel', 'self', 'conscious', 'want', 'deal']",fun mix colors grey version ordered dress size grey red yellow combination love everything dress comfortable colors cheerful proportions stripes placed works return dress short comfortable wearing saw photos comes mid thigh taller models hoped would mean would knee length unfortunately short feel self conscious want deal,0.9612,0.585,0.038,0.378,Positive,1,"[('fun', 'NN'), ('mix', 'NN'), ('colors', 'NNS'), ('grey', 'VBP'), ('version', 'NN'), ('ordered', 'VBD'), ('dress', 'JJ'), ('size', 'NN'), ('xl', 'NNP'), ('grey/red/yellow', 'NN'), ('combination', 'NN'), ('love', 'IN'), ('everything', 'NN'), ('dress', 'NN'), ('comfortable', 'JJ'), ('colors', 'NNS'), ('cheerful', 'JJ'), ('proportions', 'NNS'), ('stripes', 'NNS'), ('placed', 'VBD'), ('works', 'NNS'), ('return', 'VB'), ('dress', 'NN'), ('short', 'JJ'), (""'m"", 'VBP'), ('comfortable', 'JJ'), ('wearing', 'VBG'), ('saw', 'NN'), ('photos', 'NNS'), ('comes', 'VBZ'), ('mid-thigh', 'JJ'), ('taller', 'NN'), ('models', 'NNS'), ('hoped', 'VBD'), ('would', 'MD'), ('mean', 'VB'), ('would', 'MD'), ('knee-length', 'VB'), ('unfortunately', 'RB'), ('short', 'JJ'), (""'d"", 'MD'), ('feel', 'VB'), ('self-conscious', 'JJ'), ('want', 'NN'), ('deal', 'NN')]","['version dress', ""short i 'm comfortable wearing"", ""i 'm comfortable"", 'saw photos mid-thigh taller', 'photos mid-thigh', 'short i', 'want deal']"
492,1078,31,For the shorter girls,"For the shorter girls I really wanted to love this dress, but it was so short! i'm only 5'6"" so i don't consider myself really tall, but the dress only came a couple of inches lower than my butt! way too short for me. my husband asked if it was a shirt or dress haha. but i think this would look adorable on someone a few inches shorter. or someone younger who can pull of a short shirt :)",4,1,4,General,Dresses,Dresses,389,"['shorter', 'girls', 'really', 'wanted', 'love', 'dress', 'short', 'consider', 'really', 'tall', 'dress', 'came', 'couple', 'inches', 'lower', 'butt', 'way', 'short', 'husband', 'asked', 'shirt', 'dress', 'haha', 'think', 'would', 'look', 'adorable', 'someone', 'inches', 'shorter', 'someone', 'younger', 'pull', 'short', 'shirt']",shorter girls really wanted love dress short consider really tall dress came couple inches lower butt way short husband asked shirt dress haha think would look adorable someone inches shorter someone younger pull short shirt,0.8583,0.706,0.05,0.243,Positive,1,"[('shorter', 'JJR'), ('girls', 'NNS'), ('really', 'RB'), ('wanted', 'VBD'), ('love', 'NN'), ('dress', 'NN'), ('short', 'JJ'), (""'m"", 'VBP'), (""5'6"", 'CD'), (""''"", ""''""), ('consider', 'NN'), ('really', 'RB'), ('tall', 'JJ'), ('dress', 'NN'), ('came', 'VBD'), ('couple', 'JJ'), ('inches', 'NNS'), ('lower', 'JJR'), ('butt', 'JJ'), ('way', 'NN'), ('short', 'JJ'), ('husband', 'NN'), ('asked', 'VBD'), ('shirt', 'JJ'), ('dress', 'NN'), ('haha', 'NN'), ('think', 'NN'), ('would', 'MD'), ('look', 'VB'), ('adorable', 'JJ'), ('someone', 'NN'), ('inches', 'NNS'), ('shorter', 'VBP'), ('someone', 'NN'), ('younger', 'JJR'), ('pull', 'JJ'), ('short', 'JJ'), ('shirt', 'NN')]","['shorter girls', 'dress short', 'consider really tall', 'dress couple', 'inches lower', 'way short', 'husband shirt', 'adorable someone inches', 'someone younger pull', 'short shirt']"
497,1078,49, ,"  Very cute, very comfortable. for me aesthetics and comfort must go hand in hand. this dress fits the bill.",5,1,2,General,Dresses,Dresses,108,"['cute', 'comfortable', 'aesthetics', 'comfort', 'must', 'hand', 'hand', 'dress', 'fits', 'bill']",cute comfortable aesthetics comfort must hand hand dress fits bill,0.9349,0.248,0.0,0.752,Positive,1,"[('cute', 'NN'), ('comfortable', 'JJ'), ('aesthetics', 'NNS'), ('comfort', 'NN'), ('must', 'MD'), ('go', 'VB'), ('hand', 'NN'), ('hand', 'NN'), ('dress', 'NN'), ('fits', 'NNS'), ('bill', 'NN')]",['cute comfortable']
